value_rank,name,position,nation,value
1,Takefusa Kubo,Right Winger,Japan,€60.00m
2,Min-jae Kim,Centre-Back,"Korea, South",€60.00m
3,Heung-min Son,Left Winger,"Korea, South",€50.00m
4,Kaoru Mitoma,Left Winger,Japan,€45.00m
5,Takehiro Tomiyasu,Right-Back,Japan,€30.00m
6,Hee-chan Hwang,Centre-Forward,"Korea, South",€25.00m
7,Hiroki Ito,Centre-Back,Japan,€22.00m
8,Kang-in Lee,Attacking Midfield,"Korea, South",€22.00m
9,Ritsu Doan,Right Winger,Japan,€18.00m
10,Takumi Minamino,Left Winger,Japan,€15.00m
11,Ko Itakura,Centre-Back,Japan,€15.00m
12,Daichi Kamada,Attacking Midfield,Japan,€15.00m
13,Kyogo Furuhashi,Centre-Forward,Japan,€14.00m
14,Mahmoud Dahoud,Central Midfield,"Syria,Germany",€14.00m
15,Wataru Endo,Defensive Midfield,Japan,€13.00m
16,Hidemasa Morita,Central Midfield,Japan,€13.00m
17,Yukinari Sugawara,Right-Back,Japan,€12.00m
18,Sardar Azmoun,Centre-Forward,Iran,€10.00m
19,Mehdi Taremi,Centre-Forward,Iran,€10.00m
20,Junya Ito,Right Winger,Japan,€10.00m
21,Keito Nakamura,Left Winger,Japan,€10.00m
22,Reo Hatate,Central Midfield,Japan,€10.00m
23,Harry Souttar,Centre-Back,"Australia,Scotland",€9.00m
24,Koki Machida,Centre-Back,Japan,€8.00m
25,Ayase Ueda,Centre-Forward,Japan,€8.00m
26,Hyun-seok Hong,Central Midfield,"Korea, South",€8.00m
27,Mousa Tamari,Right Winger,Jordan,€7.00m
28,Daizen Maeda,Left Winger,Japan,€6.50m
29,Tsuyoshi Watanabe,Centre-Back,Japan,€6.00m
30,In-beom Hwang,Central Midfield,"Korea, South",€6.00m
31,Akram Afif,Left Winger,"Qatar,Tanzania",€6.00m
32,Fábio Lima,Attacking Midfield,"United Arab Emirates,Brazil",€6.00m
33,Alessandro Circati,Centre-Back,"Australia,Italy",€5.00m
34,Eldor Shomurodov,Centre-Forward,Uzbekistan,€5.00m
35,Abbosbek Fayzullaev,Attacking Midfield,Uzbekistan,€5.00m
36,Hayao Kawabe,Central Midfield,Japan,€4.50m
37,Omar Khribin,Centre-Forward,Syria,€4.50m
38,Nicolás Giménez,Attacking Midfield,"United Arab Emirates,Argentina",€4.50m
39,Luan Pereira,Central Midfield,"United Arab Emirates,Brazil",€4.50m
40,Gláuber,Centre-Back,"United Arab Emirates,Brazil",€4.50m
41,Mathew Ryan,Goalkeeper,"Australia,Scotland",€4.00m
42,Takuma Asano,Right Winger,Japan,€4.00m
43,Firas Al-Buraikan,Centre-Forward,Saudi Arabia,€4.00m
44,Riley McGree,Left Winger,Australia,€3.80m
45,Alireza Jahanbakhsh,Right Winger,Iran,€3.70m
46,Ao Tanaka,Central Midfield,Japan,€3.50m
47,Woo-yeong Jeong,Attacking Midfield,"Korea, South",€3.50m
48,Gue-sung Cho,Centre-Forward,"Korea, South",€3.50m
49,Aziz Ganiev,Central Midfield,Uzbekistan,€3.50m
50,Thom Haye,Defensive Midfield,"Indonesia,Netherlands",€3.00m
51,Kanya Fujimoto,Attacking Midfield,Japan,€3.00m
52,Koki Saito,Left Winger,Japan,€3.00m
53,Jae-sung Lee,Attacking Midfield,"Korea, South",€3.00m
54,Almoez Ali,Centre-Forward,"Qatar,Sudan",€3.00m
55,Jalil Elías,Defensive Midfield,"Syria,Argentina",€3.00m
56,Yahya Al-Ghassani,Left Winger,United Arab Emirates,€3.00m
57,Erik,Left-Back,"United Arab Emirates,Brazil",€3.00m
58,Saud Abdulhamid,Right-Back,Saudi Arabia,€2.80m
59,Ali Madan,Right Winger,Bahrain,€2.50m
60,Majid Hosseini,Centre-Back,Iran,€2.50m
61,Mehdi Ghayedi,Left Winger,Iran,€2.50m
62,Allahyar Sayyadmanesh,Right Winger,Iran,€2.50m
63,Mohammad Mohebi,Left Winger,Iran,€2.50m
64,Tatsuhiro Sakamoto,Right Midfield,Japan,€2.50m
65,Sang-bin Jeong,Centre-Forward,"Korea, South",€2.50m
66,Otabek Shukurov,Central Midfield,Uzbekistan,€2.50m
67,Fede Cartabia,Right Winger,"United Arab Emirates,Argentina",€2.50m
68,Ali Saleh,Left Winger,"United Arab Emirates,Scotland",€2.50m
69,Khaled Ebraheim,Right-Back,United Arab Emirates,€2.50m
70,Abdalla Ramadan,Central Midfield,"United Arab Emirates,Egypt",€2.50m
71,Yahia Nader,Defensive Midfield,"United Arab Emirates,Egypt",€2.50m
72,Harib Suhail,Left Winger,United Arab Emirates,€2.50m
73,Kouame Autonne Kouadio,Centre-Back,"United Arab Emirates,Cote d'Ivoire",€2.50m
74,Ui-jo Hwang,Centre-Forward,"Korea, South",€2.40m
75,Koki Ogawa,Centre-Forward,Japan,€2.30m
76,Abdulrahman Ghareeb,Left Winger,Saudi Arabia,€2.30m
77,Patrick Yazbek,Central Midfield,Australia,€2.20m
78,Ryotaro Ito,Attacking Midfield,Japan,€2.20m
79,Denis Genreau,Attacking Midfield,"Australia,France",€2.00m
80,Saman Ghoddos,Attacking Midfield,"Iran,Sweden",€2.00m
81,Sadegh Moharrami,Right-Back,Iran,€2.00m
82,Ahmad Nourollahi,Central Midfield,Iran,€2.00m
83,Koji Miyoshi,Attacking Midfield,Japan,€2.00m
84,Yohei Takaoka,Goalkeeper,Japan,€2.00m
85,Yuma Suzuki,Centre-Forward,Japan,€2.00m
86,Daiki Hashioka,Right-Back,Japan,€2.00m
87,Ayumu Seko,Centre-Back,Japan,€2.00m
88,Zion Suzuki,Goalkeeper,Japan,€2.00m
89,Daisuke Yokota,Right Winger,Japan,€2.00m
90,Hyun-jun Yang,Right Winger,"Korea, South",€2.00m
91,Gerrit Holtmann,Left Winger,"Philippines,Germany",€2.00m
92,Salem Al-Dawsari,Left Winger,Saudi Arabia,€2.00m
93,Sultan Al-Ghannam,Right-Back,Saudi Arabia,€2.00m
94,Aiham Ousou,Centre-Back,"Syria,Sweden",€2.00m
95,Abdukodir Khusanov,Centre-Back,Uzbekistan,€2.00m
96,Ali Mabkhout,Centre-Forward,United Arab Emirates,€2.00m
97,Majid Rashid,Defensive Midfield,United Arab Emirates,€2.00m
98,Khalifa Al-Hammadi,Centre-Back,United Arab Emirates,€2.00m
99,Abdulla Idrees,Centre-Back,United Arab Emirates,€2.00m
100,Lucas Pimenta,Centre-Back,"United Arab Emirates,Brazil",€2.00m
